energy,theta,cx
0.01,2.0,558756600000.0
0.01,4.0,34943580000.0
0.01,6.0,6909447000.0
0.01,8.0,2189303000.0
0.01,10.0,898379700.0
0.01,12.0,434215900.0
0.01,14.0,234999000.0
0.01,16.0,138172900.0
0.01,18.0,86559390.0
0.01,20.0,57011570.0
0.01,22.0,39106470.0
0.01,24.0,27741400.0
0.01,26.0,20243790.0
0.01,28.0,15133640.0
0.01,30.0,11552050.0
0.01,32.0,8980318.0
0.01,34.0,7094186.0
0.01,36.0,5684791.0
0.01,38.0,4613986.0
0.01,40.0,3788238.0
0.01,42.0,3142877.0
0.01,44.0,2632342.0
0.01,46.0,2223985.0
0.01,48.0,1894047.0
0.01,50.0,1624991.0
0.01,52.0,1403706.0
0.01,54.0,1220273.0
0.01,56.0,1067104.0
0.01,58.0,938337.5
0.01,60.0,829399.9
0.01,62.0,736693.2
0.01,64.0,657362.9
0.01,66.0,589127.0
0.01,68.0,530148.3
0.01,70.0,478937.4
0.01,72.0,434279.4
0.01,74.0,395177.2
0.01,76.0,360807.9
0.01,78.0,330488.8
0.01,80.0,303650.5
0.01,82.0,279815.8
0.01,84.0,258583.3
0.01,86.0,239613.1
0.01,88.0,222617.3
0.01,90.0,207350.0
0.01,92.0,193601.0
0.01,94.0,181190.0
0.01,96.0,169961.3
0.01,98.0,159780.8
0.01,100.0,150531.7
0.01,102.0,142112.9
0.01,104.0,134435.9
0.01,106.0,127423.5
0.01,108.0,121007.8
0.01,110.0,115129.3
0.01,112.0,109735.5
0.01,114.0,104780.0
0.01,116.0,100221.8
0.01,118.0,96024.4
0.01,120.0,92155.54
0.01,122.0,88586.38
0.01,124.0,85291.21
0.01,126.0,82247.07
0.01,128.0,79433.42
0.01,130.0,76831.83
0.01,132.0,74425.77
0.01,134.0,72200.41
0.01,136.0,70142.39
0.01,138.0,68239.69
0.01,140.0,66481.49
0.01,142.0,64858.02
0.01,144.0,63360.51
0.01,146.0,61981.02
0.01,148.0,60712.4
0.01,150.0,59548.23
0.01,152.0,58482.71
0.01,154.0,57510.65
0.01,156.0,56627.37
0.01,158.0,55828.72
0.01,160.0,55110.98
0.01,162.0,54470.87
0.01,164.0,53905.48
0.01,166.0,53412.28
0.01,168.0,52989.11
0.01,170.0,52634.08
0.01,172.0,52345.68
0.01,174.0,52122.63
0.01,176.0,51964.0
0.01,178.0,51869.09
0.11,2.0,4617850000.0
0.11,4.0,288799300.0
0.11,6.0,57105110.0
0.11,8.0,18093510.0
0.11,10.0,7424086.0
0.11,12.0,3587882.0
0.11,14.0,1941489.0
0.11,16.0,1141352.0
0.11,18.0,714881.8
0.11,20.0,470766.8
0.11,22.0,322862.2
0.11,24.0,228996.5
0.11,26.0,167083.4
0.11,28.0,124892.6
0.11,30.0,95327.4
0.11,32.0,74102.05
0.11,34.0,58537.88
0.11,36.0,46909.59
0.11,38.0,38076.21
0.11,40.0,31265.33
0.11,42.0,25942.97
0.11,44.0,21733.0
0.11,46.0,18365.91
0.11,48.0,15645.61
0.11,50.0,13427.38
0.11,52.0,11603.05
0.11,54.0,10090.79
0.11,56.0,8828.01
0.11,58.0,7766.363
0.11,60.0,6868.143
0.11,62.0,6103.682
0.11,64.0,5449.449
0.11,66.0,4886.633
0.11,68.0,4400.094
0.11,70.0,3977.557
0.11,72.0,3609.011
0.11,74.0,3286.241
0.11,76.0,3002.469
0.11,78.0,2752.07
0.11,80.0,2530.354
0.11,82.0,2333.391
0.11,84.0,2157.874
0.11,86.0,2001.006
0.11,88.0,1860.413
0.11,90.0,1734.072
0.11,92.0,1620.252
0.11,94.0,1517.466
0.11,96.0,1424.435
0.11,98.0,1340.053
0.11,100.0,1263.358
0.11,102.0,1193.517
0.11,104.0,1129.802
0.11,106.0,1071.576
0.11,108.0,1018.281
0.11,110.0,969.4265
0.11,112.0,924.5792
0.11,114.0,883.3575
0.11,116.0,845.4231
0.11,118.0,810.4758
0.11,120.0,778.2491
0.11,122.0,748.5053
0.11,124.0,721.0326
0.11,126.0,695.6417
0.11,128.0,672.163
0.11,130.0,650.4446
0.11,132.0,630.3502
0.11,134.0,611.7573
0.11,136.0,594.5557
0.11,138.0,578.6461
0.11,140.0,563.9393
0.11,142.0,550.3546
0.11,144.0,537.8195
0.11,146.0,526.2684
0.11,148.0,515.6423
0.11,150.0,505.8881
0.11,152.0,496.9579
0.11,154.0,488.8087
0.11,156.0,481.4021
0.11,158.0,474.7034
0.11,160.0,468.6821
0.11,162.0,463.3109
0.11,164.0,458.5659
0.11,166.0,454.4261
0.11,168.0,450.8736
0.11,170.0,447.8928
0.11,172.0,445.4711
0.11,174.0,443.598
0.11,176.0,442.2658
0.11,178.0,441.4686
0.21,2.0,1267058000.0
0.21,4.0,79233760.0
0.21,6.0,15663190.0
0.21,8.0,4961039.0
0.21,10.0,2034753.0
0.21,12.0,982916.5
0.21,14.0,531652.9
0.21,16.0,312423.4
0.21,18.0,195620.8
0.21,20.0,128788.3
0.21,22.0,88311.52
0.21,24.0,62633.08
0.21,26.0,45701.71
0.21,28.0,34167.54
0.21,30.0,26087.28
0.21,32.0,20287.78
0.21,34.0,16035.97
0.21,36.0,12859.86
0.21,38.0,10447.39
0.21,40.0,8587.376
0.21,42.0,7133.862
0.21,44.0,5984.061
0.21,46.0,5064.347
0.21,48.0,4321.162
0.21,50.0,3714.991
0.21,52.0,3216.302
0.21,54.0,2802.761
0.21,56.0,2457.289
0.21,58.0,2166.695
0.21,60.0,1920.693
0.21,62.0,1711.19
0.21,64.0,1531.769
0.21,66.0,1377.3
0.21,68.0,1243.655
0.21,70.0,1127.487
0.21,72.0,1026.066
0.21,74.0,937.1523
0.21,76.0,858.8983
0.21,78.0,789.77
0.21,80.0,728.4886
0.21,82.0,673.9824
0.21,84.0,625.3493
0.21,86.0,581.8265
0.21,88.0,542.7664
0.21,90.0,507.6169
0.21,92.0,475.9056
0.21,94.0,447.2269
0.21,96.0,421.2312
0.21,98.0,397.6162
0.21,100.0,376.1198
0.21,102.0,356.5139
0.21,104.0,338.5996
0.21,106.0,322.2026
0.21,108.0,307.1703
0.21,110.0,293.3684
0.21,112.0,280.6783
0.21,114.0,268.9955
0.21,116.0,258.2272
0.21,118.0,248.2911
0.21,120.0,239.1142
0.21,122.0,230.6311
0.21,124.0,222.7836
0.21,126.0,215.5199
0.21,128.0,208.7931
0.21,130.0,202.5617
0.21,132.0,196.7879
0.21,134.0,191.4381
0.21,136.0,186.4819
0.21,138.0,181.8919
0.21,140.0,177.6435
0.21,142.0,173.7144
0.21,144.0,170.0846
0.21,146.0,166.736
0.21,148.0,163.6521
0.21,150.0,160.8184
0.21,152.0,158.2216
0.21,154.0,155.8496
0.21,156.0,153.692
0.21,158.0,151.739
0.21,160.0,149.9822
0.21,162.0,148.4141
0.21,164.0,147.0279
0.21,166.0,145.8178
0.21,168.0,144.7789
0.21,170.0,143.9069
0.21,172.0,143.1982
0.21,174.0,142.6499
0.21,176.0,142.2598
0.21,178.0,142.0264
0.31,2.0,581426500.0
0.31,4.0,36350380.0
0.31,6.0,7183290.0
0.31,8.0,2274216.0
0.31,10.0,932347.4
0.31,12.0,450190.5
0.31,14.0,243411.1
0.31,16.0,142994.0
0.31,18.0,89513.72
0.31,20.0,58924.85
0.31,22.0,40405.55
0.31,24.0,28660.92
0.31,26.0,20919.36
0.31,28.0,15647.03
0.31,30.0,11954.37
0.31,32.0,9304.527
0.31,34.0,7362.118
0.31,36.0,5911.268
0.31,38.0,4809.294
0.31,40.0,3959.654
0.31,42.0,3295.645
0.31,44.0,2770.305
0.31,46.0,2350.003
0.31,48.0,2010.278
0.31,50.0,1733.089
0.31,52.0,1504.953
0.31,54.0,1315.678
0.31,56.0,1157.469
0.31,58.0,1024.307
0.31,60.0,911.4982
0.31,62.0,815.3526
0.31,64.0,732.9423
0.31,66.0,661.9279
0.31,68.0,600.426
0.31,70.0,546.9106
0.31,72.0,500.1367
0.31,74.0,459.0828
0.31,76.0,422.9061
0.31,78.0,390.9069
0.31,80.0,362.5018
0.31,82.0,337.2022
0.31,84.0,314.5961
0.31,86.0,294.3357
0.31,88.0,276.1253
0.31,90.0,259.7129
0.31,92.0,244.8827
0.31,94.0,231.4495
0.31,96.0,219.2535
0.31,98.0,208.1566
0.31,100.0,198.0389
0.31,102.0,188.796
0.31,104.0,180.337
0.31,106.0,172.582
0.31,108.0,165.461
0.31,110.0,158.9126
0.31,112.0,152.8824
0.31,114.0,147.3222
0.31,116.0,142.1896
0.31,118.0,137.4468
0.31,120.0,133.06
0.31,122.0,128.9992
0.31,124.0,125.2377
0.31,126.0,121.7513
0.31,128.0,118.5186
0.31,130.0,115.5203
0.31,132.0,112.739
0.31,134.0,110.159
0.31,136.0,107.7663
0.31,138.0,105.5482
0.31,140.0,103.4931
0.31,142.0,101.5908
0.31,144.0,99.83192
0.31,146.0,98.20793
0.31,148.0,96.71126
0.31,150.0,95.33501
0.31,152.0,94.07298
0.31,154.0,92.91958
0.31,156.0,91.86978
0.31,158.0,90.91911
0.31,160.0,90.06354
0.31,162.0,89.29952
0.31,164.0,88.62391
0.31,166.0,88.03396
0.31,168.0,87.52731
0.31,170.0,87.10193
0.31,172.0,86.75614
0.31,174.0,86.48859
0.31,176.0,86.29822
0.31,178.0,86.1843
0.41,2.0,332368900.0
0.41,4.0,20774210.0
0.41,6.0,4103715.0
0.41,8.0,1298653.0
0.41,10.0,532147.4
0.41,12.0,256827.9
0.41,14.0,138799.8
0.41,16.0,81506.3
0.41,18.0,51005.94
0.41,20.0,33568.38
0.41,22.0,23015.84
0.41,24.0,16326.47
0.41,26.0,11918.98
0.41,28.0,8918.489
0.41,30.0,6817.794
0.41,32.0,5310.867
0.41,34.0,4206.604
0.41,36.0,3382.026
0.41,38.0,2755.881
0.41,40.0,2273.209
0.41,42.0,1896.049
0.41,44.0,1597.683
0.41,46.0,1358.984
0.41,48.0,1166.044
0.41,50.0,1008.61
0.41,52.0,879.019
0.41,54.0,771.482
0.41,56.0,681.5728
0.41,58.0,605.874
0.41,60.0,541.722
0.41,62.0,487.0224
0.41,64.0,440.1143
0.41,66.0,399.6711
0.41,68.0,364.6249
0.41,70.0,334.1105
0.41,72.0,307.4222
0.41,74.0,283.9813
0.41,76.0,263.3099
0.41,78.0,245.0119
0.41,80.0,228.7568
0.41,82.0,214.2675
0.41,84.0,201.311
0.41,86.0,189.6901
0.41,88.0,179.2373
0.41,90.0,169.8099
0.41,92.0,161.2855
0.41,94.0,153.5593
0.41,96.0,146.5406
0.41,98.0,140.151
0.41,100.0,134.3227
0.41,102.0,128.9963
0.41,104.0,124.1202
0.41,106.0,119.6489
0.41,108.0,115.5428
0.41,110.0,111.7668
0.41,112.0,108.2898
0.41,114.0,105.0845
0.41,116.0,102.1265
0.41,118.0,99.39422
0.41,120.0,96.86832
0.41,122.0,94.53158
0.41,124.0,92.36857
0.41,126.0,90.36543
0.41,128.0,88.50974
0.41,130.0,86.79031
0.41,132.0,85.19705
0.41,134.0,83.72085
0.41,136.0,82.3535
0.41,138.0,81.08755
0.41,140.0,79.91626
0.41,142.0,78.83354
0.41,144.0,77.83386
0.41,146.0,76.9122
0.41,148.0,76.06403
0.41,150.0,75.28523
0.41,152.0,74.57209
0.41,154.0,73.92125
0.41,156.0,73.32969
0.41,158.0,72.79469
0.41,160.0,72.31381
0.41,162.0,71.88489
0.41,164.0,71.50603
0.41,166.0,71.17554
0.41,168.0,70.89195
0.41,170.0,70.65406
0.41,172.0,70.4608
0.41,174.0,70.31135
0.41,176.0,70.20505
0.41,178.0,70.14145
0.51,2.0,214790100.0
0.51,4.0,13421500.0
0.51,6.0,2650152.0
0.51,8.0,838212.9
0.51,10.0,343262.0
0.51,12.0,165556.7
0.51,14.0,89412.0
0.51,16.0,52469.26
0.51,18.0,32814.02
0.51,20.0,21583.68
0.51,22.0,14791.88
0.51,24.0,10489.36
0.51,26.0,7656.456
0.51,28.0,5729.242
0.51,30.0,4380.913
0.51,32.0,3414.37
0.51,34.0,2706.588
0.51,36.0,2178.432
0.51,38.0,1777.643
0.51,40.0,1468.887
0.51,42.0,1227.775
0.51,44.0,1037.145
0.51,46.0,884.7215
0.51,48.0,761.5815
0.51,50.0,661.1495
0.51,52.0,578.5164
0.51,54.0,509.973
0.51,56.0,452.686
0.51,58.0,404.4691
0.51,60.0,363.6192
0.51,62.0,328.7976
0.51,64.0,298.9437
0.51,66.0,273.2104
0.51,68.0,250.9164
0.51,70.0,231.5102
0.51,72.0,214.5418
0.51,74.0,199.6426
0.51,76.0,186.5085
0.51,78.0,174.8873
0.51,80.0,164.5687
0.51,82.0,155.3766
0.51,84.0,147.1629
0.51,86.0,139.8021
0.51,88.0,133.1879
0.51,90.0,127.2297
0.51,92.0,121.8496
0.51,94.0,116.981
0.51,96.0,112.5663
0.51,98.0,108.5556
0.51,100.0,104.9057
0.51,102.0,101.5789
0.51,104.0,98.54217
0.51,106.0,95.76655
0.51,108.0,93.22659
0.51,110.0,90.89981
0.51,112.0,88.76633
0.51,114.0,86.80848
0.51,116.0,85.01055
0.51,118.0,83.35849
0.51,120.0,81.83975
0.51,122.0,80.44308
0.51,124.0,79.15834
0.51,126.0,77.9764
0.51,128.0,76.88901
0.51,130.0,75.88872
0.51,132.0,74.96875
0.51,134.0,74.12295
0.51,136.0,73.34573
0.51,138.0,72.63201
0.51,140.0,71.97713
0.51,142.0,71.37685
0.51,144.0,70.82731
0.51,146.0,70.32497
0.51,148.0,69.86661
0.51,150.0,69.44929
0.51,152.0,69.0703
0.51,154.0,68.72724
0.51,156.0,68.41787
0.51,158.0,68.14019
0.51,160.0,67.8924
0.51,162.0,67.67288
0.51,164.0,67.48021
0.51,166.0,67.31309
0.51,168.0,67.17044
0.51,170.0,67.0513
0.51,172.0,66.9549
0.51,174.0,66.88058
0.51,176.0,66.82785
0.51,178.0,66.79635
0.61,2.0,150127000.0
0.61,4.0,9377962.0
0.61,6.0,1850756.0
0.61,8.0,584958.1
0.61,10.0,239344.3
0.61,12.0,115324.2
0.61,14.0,62217.21
0.61,16.0,36470.5
0.61,18.0,22783.27
0.61,20.0,14969.85
0.61,22.0,10249.07
0.61,24.0,7261.576
0.61,26.0,5296.652
0.61,28.0,3961.432
0.61,30.0,3028.368
0.61,32.0,2360.312
0.61,34.0,1871.705
0.61,36.0,1507.556
0.61,38.0,1231.569
0.61,40.0,1019.227
0.61,42.0,853.6139
0.61,44.0,722.8412
0.61,46.0,618.4085
0.61,48.0,534.1439
0.61,50.0,465.5027
0.61,52.0,409.0951
0.61,54.0,362.3621
0.61,56.0,323.3511
0.61,58.0,290.5566
0.61,60.0,262.8069
0.61,62.0,239.1822
0.61,64.0,218.9543
0.61,66.0,201.5424
0.61,68.0,186.4798
0.61,70.0,173.3888
0.61,72.0,161.9621
0.61,74.0,151.9479
0.61,76.0,143.1385
0.61,78.0,135.3621
0.61,80.0,128.4756
0.61,82.0,122.3591
0.61,84.0,116.9117
0.61,86.0,112.0484
0.61,88.0,107.6968
0.61,90.0,103.7953
0.61,92.0,100.2911
0.61,94.0,97.13894
0.61,96.0,94.2996
0.61,98.0,91.73916
0.61,100.0,89.42814
0.61,102.0,87.34076
0.61,104.0,85.45445
0.61,106.0,83.74931
0.61,108.0,82.20781
0.61,110.0,80.81438
0.61,112.0,79.55519
0.61,114.0,78.41788
0.61,116.0,77.39138
0.61,118.0,76.46574
0.61,120.0,75.63198
0.61,122.0,74.88197
0.61,124.0,74.20834
0.61,126.0,73.60437
0.61,128.0,73.06391
0.61,130.0,72.58137
0.61,132.0,72.15158
0.61,134.0,71.76981
0.61,136.0,71.43168
0.61,138.0,71.13316
0.61,140.0,70.87054
0.61,142.0,70.64036
0.61,144.0,70.43943
0.61,146.0,70.26481
0.61,148.0,70.11377
0.61,150.0,69.98378
0.61,152.0,69.87252
0.61,154.0,69.77786
0.61,156.0,69.69781
0.61,158.0,69.63059
0.61,160.0,69.57456
0.61,162.0,69.52823
0.61,164.0,69.49029
0.61,166.0,69.45955
0.61,168.0,69.43498
0.61,170.0,69.41569
0.61,172.0,69.40093
0.61,174.0,69.39008
0.61,176.0,69.38266
0.61,178.0,69.37835
0.71,2.0,110805000.0
0.71,4.0,6918908.0
0.71,6.0,1364513.0
0.71,8.0,430859.8
0.71,10.0,176082.1
0.71,12.0,84724.37
0.71,14.0,45638.04
0.71,16.0,26707.87
0.71,18.0,16655.9
0.71,20.0,10924.97
0.71,22.0,7467.203
0.71,24.0,5282.264
0.71,26.0,3847.482
0.71,28.0,2874.15
0.71,30.0,2195.179
0.71,32.0,1709.942
0.71,34.0,1355.722
0.71,36.0,1092.245
0.71,38.0,892.9575
0.71,40.0,739.9395
0.71,42.0,620.8431
0.71,44.0,526.9984
0.71,46.0,452.2145
0.71,48.0,392.0021
0.71,50.0,343.0597
0.71,52.0,302.9282
0.71,54.0,269.7538
0.71,56.0,242.124
0.71,58.0,218.9515
0.71,60.0,199.3915
0.71,62.0,182.7817
0.71,64.0,168.5988
0.71,66.0,156.4259
0.71,68.0,145.9287
0.71,70.0,136.8374
0.71,72.0,128.9323
0.71,74.0,122.034
0.71,76.0,115.995
0.71,78.0,110.6931
0.71,80.0,106.0268
0.71,82.0,101.9112
0.71,84.0,98.27495
0.71,86.0,95.05788
0.71,88.0,92.20892
0.71,90.0,89.68454
0.71,92.0,87.44745
0.71,94.0,85.46559
0.71,96.0,83.71122
0.71,98.0,82.16028
0.71,100.0,80.79174
0.71,102.0,79.58719
0.71,104.0,78.53038
0.71,106.0,77.60696
0.71,108.0,76.80414
0.71,110.0,76.11048
0.71,112.0,75.51572
0.71,114.0,75.01059
0.71,116.0,74.58667
0.71,118.0,74.23631
0.71,120.0,73.95249
0.71,122.0,73.72875
0.71,124.0,73.55916
0.71,126.0,73.43819
0.71,128.0,73.36071
0.71,130.0,73.32194
0.71,132.0,73.31742
0.71,134.0,73.34294
0.71,136.0,73.39459
0.71,138.0,73.46865
0.71,140.0,73.56164
0.71,142.0,73.6703
0.71,144.0,73.79152
0.71,146.0,73.92242
0.71,148.0,74.06026
0.71,150.0,74.20247
0.71,152.0,74.34668
0.71,154.0,74.49063
0.71,156.0,74.63226
0.71,158.0,74.76964
0.71,160.0,74.901
0.71,162.0,75.02473
0.71,164.0,75.13937
0.71,166.0,75.2436
0.71,168.0,75.33628
0.71,170.0,75.4164
0.71,172.0,75.48312
0.71,174.0,75.53573
0.71,176.0,75.57369
0.71,178.0,75.59662
0.81,2.0,85124240.0
0.81,4.0,5312619.0
0.81,6.0,1046774.0
0.81,8.0,330106.8
0.81,10.0,134689.2
0.81,12.0,64684.4
0.81,14.0,34768.68
0.81,16.0,20299.73
0.81,18.0,12628.6
0.81,20.0,8262.618
0.81,22.0,5633.402
0.81,24.0,3975.449
0.81,26.0,2889.137
0.81,28.0,2153.941
0.81,30.0,1642.365
0.81,32.0,1277.715
0.81,34.0,1012.248
0.81,36.0,815.3432
0.81,38.0,666.8421
0.81,40.0,553.1592
0.81,42.0,464.9474
0.81,44.0,395.6549
0.81,46.0,340.6111
0.81,48.0,296.4352
0.81,50.0,260.6457
0.81,52.0,231.3977
0.81,54.0,207.3036
0.81,56.0,187.3083
0.81,58.0,170.6013
0.81,60.0,156.5545
0.81,62.0,144.6766
0.81,64.0,134.5804
0.81,66.0,125.9585
0.81,68.0,118.5646
0.81,70.0,112.2007
0.81,72.0,106.7062
0.81,74.0,101.95
0.81,76.0,97.82466
0.81,78.0,94.24151
0.81,80.0,91.12698
0.81,82.0,88.41972
0.81,84.0,86.06824
0.81,86.0,84.02916
0.81,88.0,82.26569
0.81,90.0,80.74646
0.81,92.0,79.44459
0.81,94.0,78.33689
0.81,96.0,77.40328
0.81,98.0,76.62619
0.81,100.0,75.99023
0.81,102.0,75.48178
0.81,104.0,75.08874
0.81,106.0,74.80024
0.81,108.0,74.60651
0.81,110.0,74.49866
0.81,112.0,74.46858
0.81,114.0,74.50879
0.81,116.0,74.6124
0.81,118.0,74.77295
0.81,120.0,74.98444
0.81,122.0,75.24118
0.81,124.0,75.53784
0.81,126.0,75.86933
0.81,128.0,76.23083
0.81,130.0,76.61772
0.81,132.0,77.0256
0.81,134.0,77.45024
0.81,136.0,77.8876
0.81,138.0,78.33379
0.81,140.0,78.78511
0.81,142.0,79.23797
0.81,144.0,79.68898
0.81,146.0,80.13486
0.81,148.0,80.57252
0.81,150.0,80.999
0.81,152.0,81.4115
0.81,154.0,81.80738
0.81,156.0,82.18416
0.81,158.0,82.53953
0.81,160.0,82.87134
0.81,162.0,83.17762
0.81,164.0,83.45656
0.81,166.0,83.70655
0.81,168.0,83.92615
0.81,170.0,84.1141
0.81,172.0,84.26935
0.81,174.0,84.391
0.81,176.0,84.47839
0.81,178.0,84.53101
0.91,2.0,67432740.0
0.91,4.0,4205692.0
0.91,6.0,827690.3
0.91,8.0,260582.3
0.91,10.0,106097.9
0.91,12.0,50826.17
0.91,14.0,27242.37
0.91,16.0,15856.2
0.91,18.0,9831.759
0.91,20.0,6410.794
0.91,22.0,4355.85
0.91,24.0,3063.58
0.91,26.0,2219.374
0.91,28.0,1649.839
0.91,30.0,1254.867
0.91,32.0,974.3277
0.91,34.0,770.8494
0.91,36.0,620.5052
0.91,38.0,507.5705
0.91,40.0,421.4696
0.91,42.0,354.9413
0.91,44.0,302.9068
0.91,46.0,261.7541
0.91,48.0,228.8753
0.91,50.0,202.3609
0.91,52.0,180.7955
0.91,54.0,163.1174
0.91,56.0,148.5218
0.91,58.0,136.3928
0.91,60.0,126.2543
0.91,62.0,117.7356
0.91,64.0,110.5455
0.91,66.0,104.4535
0.91,68.0,99.27614
0.91,70.0,94.86614
0.91,72.0,91.10469
0.91,74.0,87.89526
0.91,76.0,85.15901
0.91,78.0,82.83114
0.91,80.0,80.85809
0.91,82.0,79.19535
0.91,84.0,77.80563
0.91,86.0,76.6576
0.91,88.0,75.72467
0.91,90.0,74.98418
0.91,92.0,74.41664
0.91,94.0,74.00518
0.91,96.0,73.73507
0.91,98.0,73.59333
0.91,100.0,73.56843
0.91,102.0,73.65004
0.91,104.0,73.82879
0.91,106.0,74.09612
0.91,108.0,74.44417
0.91,110.0,74.86559
0.91,112.0,75.35348
0.91,114.0,75.90137
0.91,116.0,76.50306
0.91,118.0,77.15262
0.91,120.0,77.84435
0.91,122.0,78.57274
0.91,124.0,79.33244
0.91,126.0,80.11825
0.91,128.0,80.9251
0.91,130.0,81.74805
0.91,132.0,82.58226
0.91,134.0,83.42303
0.91,136.0,84.26574
0.91,138.0,85.10593
0.91,140.0,85.9392
0.91,142.0,86.76133
0.91,144.0,87.56821
0.91,146.0,88.35587
0.91,148.0,89.12048
0.91,150.0,89.85836
0.91,152.0,90.56603
0.91,154.0,91.24014
0.91,156.0,91.87754
0.91,158.0,92.47527
0.91,160.0,93.03059
0.91,162.0,93.54093
0.91,164.0,94.00397
0.91,166.0,94.4176
0.91,168.0,94.77993
0.91,170.0,95.08933
0.91,172.0,95.3444
0.91,174.0,95.54399
0.91,176.0,95.6872
0.91,178.0,95.77338
1.01,2.0,54729120.0
1.01,4.0,3410473.0
1.01,6.0,670180.8
1.01,8.0,210547.5
1.01,10.0,85496.61
1.01,12.0,40827.0
1.01,14.0,21803.81
1.01,16.0,12640.3
1.01,18.0,7804.436
1.01,20.0,5066.404
1.01,22.0,3427.003
1.01,24.0,2399.697
1.01,26.0,1731.157
1.01,28.0,1281.991
1.01,30.0,971.8604
1.01,32.0,752.6039
1.01,34.0,594.3498
1.01,36.0,478.0148
1.01,38.0,391.0881
1.01,40.0,325.1764
1.01,42.0,274.5328
1.01,44.0,235.1495
1.01,46.0,204.1848
1.01,48.0,179.594
1.01,50.0,159.8852
1.01,52.0,143.9568
1.01,54.0,130.9857
1.01,56.0,120.3509
1.01,58.0,111.5791
1.01,60.0,104.3064
1.01,62.0,98.25091
1.01,64.0,93.19235
1.01,66.0,88.95755
1.01,68.0,85.40937
1.01,70.0,82.4385
1.01,72.0,79.95732
1.01,74.0,77.89513
1.01,76.0,76.19456
1.01,78.0,74.80876
1.01,80.0,73.69924
1.01,82.0,72.83413
1.01,84.0,72.18692
1.01,86.0,71.73529
1.01,88.0,71.46039
1.01,90.0,71.34606
1.01,92.0,71.37834
1.01,94.0,71.54504
1.01,96.0,71.83536
1.01,98.0,72.23964
1.01,100.0,72.74911
1.01,102.0,73.35569
1.01,104.0,74.05188
1.01,106.0,74.83059
1.01,108.0,75.68508
1.01,110.0,76.60886
1.01,112.0,77.59564
1.01,114.0,78.63927
1.01,116.0,79.7337
1.01,118.0,80.87298
1.01,120.0,82.05119
1.01,122.0,83.26247
1.01,124.0,84.50099
1.01,126.0,85.76097
1.01,128.0,87.03664
1.01,130.0,88.32228
1.01,132.0,89.61221
1.01,134.0,90.90081
1.01,136.0,92.18251
1.01,138.0,93.45184
1.01,140.0,94.70339
1.01,142.0,95.93189
1.01,144.0,97.13216
1.01,146.0,98.29919
1.01,148.0,99.42809
1.01,150.0,100.5142
1.01,152.0,101.5529
1.01,154.0,102.54
1.01,156.0,103.4713
1.01,158.0,104.3431
1.01,160.0,105.1516
1.01,162.0,105.8936
1.01,164.0,106.5659
1.01,166.0,107.1658
1.01,168.0,107.6909
1.01,170.0,108.1389
1.01,172.0,108.508
1.01,174.0,108.7967
1.01,176.0,109.0037
1.01,178.0,109.1283
1.11,2.0,45299520.0
1.11,4.0,2819832.0
1.11,6.0,553079.9
1.11,8.0,173303.8
1.11,10.0,70140.39
1.11,12.0,33362.28
1.11,14.0,17737.4
1.11,16.0,10232.07
1.11,18.0,6284.086
1.11,20.0,4056.916
1.11,22.0,2728.804
1.11,24.0,1900.274
1.11,26.0,1363.71
1.11,28.0,1005.103
1.11,30.0,758.8887
1.11,32.0,585.8566
1.11,34.0,461.7502
1.11,36.0,371.1174
1.11,38.0,303.8583
1.11,40.0,253.2195
1.11,42.0,214.593
1.11,44.0,184.7777
1.11,46.0,161.5132
1.11,48.0,143.1801
1.11,50.0,128.6026
1.11,52.0,116.9169
1.11,54.0,107.4813
1.11,56.0,99.81458
1.11,58.0,93.55233
1.11,60.0,88.4165
1.11,62.0,84.19321
1.11,64.0,80.71688
1.11,66.0,77.85842
1.11,68.0,75.51661
1.11,70.0,73.61161
1.11,72.0,72.08006
1.11,74.0,70.87145
1.11,76.0,69.94522
1.11,78.0,69.2686
1.11,80.0,68.81497
1.11,82.0,68.56244
1.11,84.0,68.49295
1.11,86.0,68.59134
1.11,88.0,68.84477
1.11,90.0,69.2422
1.11,92.0,69.77396
1.11,94.0,70.43144
1.11,96.0,71.20685
1.11,98.0,72.09296
1.11,100.0,73.083
1.11,102.0,74.17045
1.11,104.0,75.34901
1.11,106.0,76.61248
1.11,108.0,77.95468
1.11,110.0,79.36944
1.11,112.0,80.85054
1.11,114.0,82.3917
1.11,116.0,83.98654
1.11,118.0,85.6286
1.11,120.0,87.31132
1.11,122.0,89.02805
1.11,124.0,90.77204
1.11,126.0,92.5365
1.11,128.0,94.31454
1.11,130.0,96.09925
1.11,132.0,97.8837
1.11,134.0,99.66095
1.11,136.0,101.4241
1.11,138.0,103.1662
1.11,140.0,104.8806
1.11,142.0,106.5605
1.11,144.0,108.1993
1.11,146.0,109.7906
1.11,148.0,111.3282
1.11,150.0,112.8059
1.11,152.0,114.2179
1.11,154.0,115.5587
1.11,156.0,116.8229
1.11,158.0,118.0055
1.11,160.0,119.1017
1.11,162.0,120.1073
1.11,164.0,121.0181
1.11,166.0,121.8306
1.11,168.0,122.5415
1.11,170.0,123.1479
1.11,172.0,123.6474
1.11,174.0,124.038
1.11,176.0,124.3182
1.11,178.0,124.4867
1.21,2.0,38107580.0
1.21,4.0,2368995.0
1.21,6.0,463594.5
1.21,8.0,144803.7
1.21,10.0,58371.44
